Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Marick Klarenbeek,M,SBD,Raw,25.5,24-34,24-39,Open,102.53,105,205.0,215.0,-217.5,,215.0,130.0,135.0,140.0,,140.0,235.0,250.0,255.0,,255.0,610.0,18,371.5,367.67,351.07,76.16,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Matthijs Trimpe-Burger,M,SBD,Raw,24.5,24-34,24-39,Open,82.25,83,185.0,197.5,210.0,,210.0,107.5,112.5,-115.0,,112.5,200.0,212.5,225.0,,225.0,547.5,12,371.51,367.44,353.6,76.14,Yes,Netherlands,,KNKF-SP,IPF,2016-12-11,Netherlands,NB,Veldhoven,Dutch Classic Powerlifting Championships
Harry Seriese,M,SBD,Raw,53.5,50-54,50-59,Open,124.55,120+,230.0,240.0,-245.0,,240.0,160.0,165.0,-167.5,,165.0,230.0,245.0,250.0,,250.0,655.0,4,371.65,373.52,357.56,74.93,Yes,Netherlands,,KNKF-SP,IPF,2017-12-09,Netherlands,NB,Veldhoven,Dutch Classic Powerlifting Championships
Fabbio Hu,M,SBD,Raw,23.5,24-34,24-39,Open,65.65,66,160.0,-165.0,165.0,,165.0,95.0,100.0,102.5,,102.5,200.0,205.0,-220.0,,205.0,472.5,1,371.68,372.64,362.18,73.86,Yes,Netherlands,,KNKF-SP,IPF,2017-06-10,Netherlands,NB,Tilburg,DRC Cup
Arianne Derickx,F,SBD,Raw,24.5,24-34,24-39,Open,65.1,72,115.0,120.0,122.5,,122.5,70.0,75.0,-77.5,,75.0,147.5,155.0,-162.5,,155.0,352.5,1,371.72,369.39,326.04,75.55,Yes,Netherlands,,KNKF-SP,IPF,2019-02-02,Netherlands,GR,Groningen,Northside Barbell Cup
Whitney Nedd,F,SBD,Raw,22.5,20-23,19-23,Open,62.22,63,112.5,-117.5,117.5,,117.5,60.0,62.5,65.0,,65.0,145.0,152.5,160.5,,160.5,343.0,1,371.72,371.87,328.42,75.65,Yes,Netherlands,,KNKF-SP,IPF,2021-10-09,Netherlands,,Tillburg,NSK Powerliften Classic
Auke van Dorland,M,SBD,Raw,20.5,20-23,19-23,Juniors,100.4,105,202.5,212.5,-217.5,,212.5,142.5,150.0,157.5,,157.5,217.5,235.0,-250.0,,235.0,605.0,3,371.75,367.61,351.09,76.28,Yes,Netherlands,,VGPF,IPF,2022-04-02,Belgium,,Leuven,Interclub 2
Auke van Dorland,M,SBD,Raw,20.5,20-23,19-23,Open,100.4,105,202.5,212.5,-217.5,,212.5,142.5,150.0,157.5,,157.5,217.5,235.0,-250.0,,235.0,605.0,6,371.75,367.61,351.09,76.28,Yes,Netherlands,,VGPF,IPF,2022-04-02,Belgium,,Leuven,Interclub 2
Tomas Bozon,M,SBD,Raw,23.5,24-34,24-39,Open,80.2,83,160.0,170.0,175.0,,175.0,130.0,137.5,142.5,,142.5,200.0,212.5,222.5,,222.5,540.0,4,371.81,368.08,354.62,76.06,Yes,Netherlands,,KNKF-SP,IPF,2020-10-10,Netherlands,NB,Tilburg,Dutch Student Championships
Maaike Brinkhof,F,SBD,Raw,35.5,35-39,24-39,Open,70.78,76,115.0,122.5,-127.5,,122.5,67.5,72.5,-75.0,,72.5,160.0,170.0,175.0,,175.0,370.0,9,371.86,365.31,321.93,75.6,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Lana Hooiveld,F,SBD,Raw,16.5,16-17,14-18,Sub-Juniors,61.3,63,115.0,-120.0,-120.0,,115.0,70.0,-75.0,75.0,,75.0,145.0,-150.0,150.0,,150.0,340.0,1,371.88,372.84,329.34,75.74,Yes,Netherlands,,KNKF-SP,IPF,2019-06-22,Netherlands,UT,Utrecht,Dutch Juniors & Sub-Juniors Championships
Brittney van den Berg,F,SBD,Raw,22.5,20-23,19-23,Juniors,110.95,84+,160.0,-167.5,167.5,,167.5,97.5,102.5,105.0,,105.0,170.0,175.0,180.0,,180.0,452.5,3,371.93,367.25,312.5,78.72,Yes,Netherlands,,EPF,IPF,2019-11-29,Lithuania,,Kaunas,European Classic Championships
